Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,43.660000,43.970001,43.650002,43.799999,43.136635,2201000
2023-04-21,43.889999,43.889999,43.419998,43.770000,43.107094,802700
2023-04-24,43.750000,43.980000,43.580002,43.790001,43.126789,510800
2023-04-25,43.470001,43.549999,42.930000,42.939999,42.289661,654200
2023-04-26,42.830002,43.009998,42.480000,42.560001,41.915421,689600
2023-04-27,42.720001,43.250000,42.509998,43.240002,42.585117,500800
2023-04-28,43.160000,43.680000,43.160000,43.610001,42.949516,505700
2023-05-01,43.549999,43.980000,43.540001,43.610001,42.949516,852300
2023-05-02,43.480000,43.480000,42.430000,42.980000,42.329060,756900
2023-05-03,43.080002,43.740002,42.919998,42.959999,42.309361,824100
2023-05-04,42.650002,42.689999,42.000000,42.209999,41.570721,591800
2023-05-05,42.790001,43.240002,42.790001,43.119999,42.466934,425600
2023-05-08,43.310001,43.360001,42.840000,43.009998,42.358601,362100
2023-05-09,42.799999,43.009998,42.639999,42.860001,42.210873,723400
2023-05-10,43.320000,43.340000,42.490002,42.919998,42.269962,537200
2023-05-11,42.660000,42.790001,42.430000,42.650002,42.004055,424500
2023-05-12,42.779999,42.910000,42.360001,42.630001,41.984360,464400
2023-05-15,42.720001,43.130001,42.639999,42.990002,42.338909,387200
2023-05-16,42.779999,42.779999,42.369999,42.380001,41.738148,606400
2023-05-17,42.630001,43.180000,42.400002,43.090000,42.437389,665000
2023-05-18,43.020000,43.520000,42.889999,43.470001,42.811638,758100
2023-05-19,43.709999,43.720001,42.919998,43.090000,42.437389,756100
2023-05-22,43.220001,43.480000,42.959999,43.320000,42.663910,673800
2023-05-23,43.150002,43.490002,42.840000,42.889999,42.240421,498300
2023-05-24,42.680000,42.709999,42.299999,42.470001,41.826786,516400
2023-05-25,42.439999,42.560001,42.099998,42.459999,41.816933,664900
2023-05-26,42.540001,42.930000,42.450001,42.849998,42.201027,610500
2023-05-30,43.020000,43.160000,42.650002,42.810001,42.161633,687500
2023-05-31,42.619999,42.770000,41.970001,42.240002,41.600266,701300
2023-06-01,42.299999,42.680000,42.060001,42.599998,41.954811,755700
2023-06-02,43.070000,44.009998,43.070000,43.970001,43.304062,791100
2023-06-05,43.830002,43.830002,43.270000,43.529999,42.870724,634300
2023-06-06,43.470001,44.490002,43.459999,44.430000,43.757095,792600
2023-06-07,44.619999,45.160000,44.529999,45.099998,44.416946,590900
2023-06-08,44.980000,45.130001,44.630001,44.880001,44.200283,720000
2023-06-09,44.919998,44.950001,44.500000,44.639999,43.963917,942100
2023-06-12,44.700001,44.959999,44.480000,44.869999,44.190430,735200
2023-06-13,45.060001,45.520000,45.020000,45.340000,44.653313,916200
2023-06-14,45.430000,45.689999,44.790001,45.110001,44.426800,857200
2023-06-15,44.950001,45.540001,44.950001,45.520000,44.830589,619200
2023-06-16,45.610001,45.709999,45.160000,45.330002,44.643471,632900
2023-06-20,44.939999,44.939999,44.580002,44.820000,44.329933,595100
2023-06-21,44.619999,44.939999,44.500000,44.740002,44.250805,505100
2023-06-22,44.650002,44.650002,44.270000,44.520000,44.033215,663600
2023-06-23,44.060001,44.310001,43.950001,43.980000,43.499119,811800
2023-06-26,44.080002,44.560001,44.029999,44.349998,43.865070,430500
2023-06-27,44.430000,45.130001,44.320000,45.049999,44.557419,470100
2023-06-28,45.000000,45.070000,44.740002,45.049999,44.557419,467700
2023-06-29,45.060001,45.619999,45.009998,45.610001,45.111294,592500
2023-06-30,45.910000,46.080002,45.700001,45.889999,45.388233,537400
2023-07-03,45.900002,46.169998,45.860001,46.060001,45.556374,347100
2023-07-05,45.820000,45.900002,45.570000,45.630001,45.131077,811500
2023-07-06,45.230000,45.240002,44.720001,45.150002,44.656326,409500
2023-07-07,45.200001,45.970001,45.169998,45.560001,45.061840,359600
2023-07-10,45.520000,46.180000,45.470001,46.160000,45.655281,514300
2023-07-11,46.259998,46.720001,46.209999,46.669998,46.159706,411700
2023-07-12,47.259998,47.270000,46.930000,47.020000,46.505878,636000
2023-07-13,47.139999,47.320000,46.990002,47.279999,46.763031,412000
2023-07-14,47.259998,47.259998,46.619999,46.840000,46.327843,403000
2023-07-17,46.720001,47.240002,46.650002,47.130001,46.614674,417900
2023-07-18,47.150002,47.619999,47.119999,47.580002,47.059757,530400
2023-07-19,47.720001,47.849998,47.509998,47.750000,47.227898,564600
2023-07-20,47.770000,47.799999,47.299999,47.480000,46.960850,877600
2023-07-21,47.750000,47.750000,47.360001,47.369999,46.852051,354500
2023-07-24,47.380001,47.700001,47.290001,47.430000,46.911396,434300
2023-07-25,47.369999,47.759998,47.290001,47.540001,47.020191,411600
2023-07-26,47.470001,47.910000,47.459999,47.770000,47.247677,479300
2023-07-27,47.990002,47.990002,47.080002,47.200001,46.683910,605000
2023-07-28,47.610001,47.740002,47.380001,47.590000,47.069645,589500
2023-07-31,47.689999,47.880001,47.590000,47.799999,47.277351,424300
2023-08-01,47.540001,47.750000,47.389999,47.660000,47.138878,1071500
2023-08-02,47.189999,47.380001,46.980000,47.160000,46.644348,697700
2023-08-03,46.880001,47.169998,46.700001,47.000000,46.486092,364000
2023-08-04,47.110001,47.470001,46.910000,47.000000,46.486092,501300
2023-08-07,47.119999,47.389999,47.000000,47.369999,46.852051,513800
2023-08-08,46.820000,46.980000,46.450001,46.930000,46.416862,476500
2023-08-09,46.919998,46.970001,46.570000,46.689999,46.179482,539700
2023-08-10,46.950001,47.240002,46.459999,46.650002,46.139923,618300
2023-08-11,46.470001,46.779999,46.439999,46.619999,46.110249,550500
2023-08-14,46.459999,46.709999,46.259998,46.709999,46.199265,502500
2023-08-15,46.450001,46.450001,46.049999,46.099998,45.595936,590800
2023-08-16,46.049999,46.270000,45.650002,45.650002,45.150860,732200
2023-08-17,45.779999,45.860001,45.070000,45.090000,44.596981,776900
2023-08-18,44.810001,45.310001,44.720001,45.209999,44.715668,578700
2023-08-21,45.270000,45.389999,44.910000,45.250000,44.755230,761700
2023-08-22,45.310001,45.410000,44.970001,45.020000,44.527744,633200
2023-08-23,45.029999,45.560001,44.939999,45.520000,45.022278,1040600
2023-08-24,45.419998,45.799999,45.070000,45.070000,44.577198,552000
2023-08-25,45.259998,45.439999,44.770000,45.259998,44.765121,973100
2023-08-28,45.400002,45.889999,45.400002,45.650002,45.150860,801900
2023-08-29,45.630001,46.279999,45.500000,46.270000,45.764080,525800
2023-08-30,46.240002,46.560001,46.209999,46.410000,45.902546,491800
2023-08-31,46.419998,46.650002,46.380001,46.380001,45.872875,1056200
2023-09-01,46.709999,46.939999,46.630001,46.840000,46.327843,535700
2023-09-05,46.520000,46.580002,45.770000,45.779999,45.279434,838800
2023-09-06,45.790001,46.029999,45.419998,45.650002,45.150860,509100
2023-09-07,45.419998,45.509998,45.080002,45.230000,44.735447,393800
2023-09-08,45.259998,45.360001,45.080002,45.180000,44.685993,797200
2023-09-11,45.450001,45.529999,45.180000,45.240002,44.745338,569500
2023-09-12,45.139999,45.480000,45.139999,45.240002,44.745338,663800
2023-09-13,45.279999,45.320000,44.810001,45.000000,44.507965,552600
2023-09-14,45.310001,45.599998,45.259998,45.549999,45.051949,556400
2023-09-15,45.380001,45.400002,44.950001,45.099998,44.606869,599600
2023-09-18,44.919998,45.040001,44.750000,44.860001,44.543324,758700
2023-09-19,44.900002,45.049999,44.599998,44.779999,44.463886,510900
2023-09-20,44.970001,45.180000,44.509998,44.509998,44.195793,571400
2023-09-21,44.290001,44.290001,43.700001,43.730000,43.421299,624500
2023-09-22,43.820000,43.980000,43.639999,43.669998,43.361721,621200
2023-09-25,43.480000,43.990002,43.480000,43.919998,43.609959,669100
2023-09-26,43.639999,43.840000,43.220001,43.230000,42.924831,636100
2023-09-27,43.490002,43.669998,43.160000,43.470001,43.163136,838200
2023-09-28,43.529999,44.150002,43.450001,43.959999,43.649673,568800
2023-09-29,44.299999,44.349998,43.730000,43.790001,43.480877,1575000
2023-10-02,43.700001,43.799999,43.029999,43.220001,42.914902,653200
2023-10-03,43.000000,43.110001,42.330002,42.509998,42.209911,1152900
2023-10-04,42.549999,42.779999,42.200001,42.730000,42.428360,943000
2023-10-05,42.599998,42.860001,42.400002,42.639999,42.338997,1273200
2023-10-06,42.430000,43.240002,42.250000,43.009998,42.706383,659700
2023-10-09,42.799999,43.439999,42.759998,43.320000,43.014194,463800
2023-10-10,43.500000,44.020000,43.480000,43.740002,43.431229,516200
2023-10-11,43.840000,44.049999,43.549999,43.880001,43.570240,466800
2023-10-12,43.939999,43.939999,42.779999,43.040001,42.736172,716400
2023-10-13,43.150002,43.230000,42.630001,42.770000,42.468075,651100
2023-10-16,43.150002,43.570000,43.009998,43.480000,43.173065,612200
2023-10-17,43.200001,44.279999,43.200001,44.000000,43.689392,812200
2023-10-18,43.590000,43.590000,42.980000,43.029999,42.726238,734700
2023-10-19,42.860001,43.189999,42.240002,42.360001,42.060970,1111900
2023-10-20,42.380001,42.490002,41.869999,41.900002,41.604218,1182500
2023-10-23,41.700001,42.040001,41.490002,41.509998,41.216972,1063600
2023-10-24,41.770000,42.029999,41.560001,41.730000,41.435417,932200
2023-10-25,41.470001,41.610001,41.060001,41.119999,40.829723,1580900
2023-10-26,41.220001,41.619999,41.139999,41.320000,41.028313,1319400
2023-10-27,41.410000,41.419998,40.669998,40.759998,40.472263,1133600
2023-10-30,41.099998,41.340000,40.730000,41.099998,40.809864,836600
2023-10-31,41.180000,41.540001,41.119999,41.470001,41.177254,1218400
2023-11-01,41.369999,41.720001,41.110001,41.720001,41.425491,1060300
2023-11-02,42.139999,42.630001,42.110001,42.590000,42.289345,826500
2023-11-03,43.119999,43.660000,43.119999,43.450001,43.143276,640600
2023-11-06,43.400002,43.500000,42.860001,43.040001,42.736172,848800
2023-11-07,42.939999,43.020000,42.680000,42.910000,42.607090,743500
2023-11-08,42.880001,43.099998,42.639999,42.709999,42.408497,1077500
2023-11-09,42.939999,42.939999,42.180000,42.259998,41.961678,894100
2023-11-10,42.410000,42.790001,42.220001,42.779999,42.478004,682900
2023-11-13,42.599998,42.849998,42.509998,42.730000,42.428360,708800
2023-11-14,43.639999,44.490002,43.639999,44.389999,44.076641,910400
2023-11-15,44.430000,45.049999,44.389999,44.590000,44.275227,674100
2023-11-16,44.450001,44.610001,43.980000,44.130001,43.818478,960200
2023-11-17,44.430000,44.570000,44.360001,44.500000,44.185863,669600
2023-11-20,44.450001,44.779999,44.290001,44.689999,44.374519,659200
2023-11-21,44.500000,44.599998,44.419998,44.470001,44.156078,520900
2023-11-22,44.660000,44.880001,44.529999,44.730000,44.414242,634500
2023-11-24,44.669998,44.980000,44.650002,44.939999,44.622757,240900
2023-11-27,44.720001,44.950001,44.549999,44.840000,44.523464,645600
2023-11-28,44.770000,44.910000,44.509998,44.560001,44.245441,701800
2023-11-29,44.820000,45.189999,44.660000,44.730000,44.414242,693800
2023-11-30,44.869999,45.049999,44.639999,45.000000,44.682335,772800
2023-12-01,44.860001,46.099998,44.799999,46.080002,45.754715,1272800
2023-12-04,45.930000,46.490002,45.880001,46.450001,46.122101,1327800
2023-12-05,46.240002,46.240002,45.759998,45.849998,45.526333,1287200
2023-12-06,46.119999,46.490002,45.730000,45.779999,45.456825,1058200
2023-12-07,45.820000,46.020000,45.689999,46.000000,45.675274,760500
2023-12-08,45.970001,46.410000,45.939999,46.220001,45.893723,649400
2023-12-11,46.180000,46.509998,46.150002,46.480000,46.151886,583500
2023-12-12,46.410000,46.570000,46.180000,46.360001,46.032734,738200
2023-12-13,46.360001,47.560001,46.160000,47.560001,47.224262,1151400
2023-12-14,48.180000,48.830002,48.180000,48.689999,48.346283,1196100
2023-12-15,48.669998,48.720001,48.110001,48.230000,47.889534,941300
2023-12-18,48.259998,48.330002,48.020000,48.119999,47.967281,1039700
2023-12-19,48.330002,48.770000,48.279999,48.759998,48.605251,799100
2023-12-20,48.660000,49.009998,47.970001,47.980000,47.827728,1344300
2023-12-21,48.419998,48.650002,48.160000,48.630001,48.475666,885900
2023-12-22,48.759998,49.070000,48.590000,48.810001,48.655094,1001900
2023-12-26,48.840000,49.330002,48.830002,49.160000,49.003983,571500
2023-12-27,49.240002,49.330002,49.040001,49.200001,49.043858,868400
2023-12-28,49.080002,49.279999,49.000000,49.169998,49.013950,716100
2023-12-29,49.099998,49.189999,48.700001,48.720001,48.565380,719800
2024-01-02,48.450001,48.860001,48.330002,48.570000,48.415855,1546600
2024-01-03,48.099998,48.099998,47.419998,47.459999,47.309380,1264000
2024-01-04,47.419998,47.660000,47.330002,47.389999,47.239601,1601900
2024-01-05,47.160000,47.849998,47.139999,47.529999,47.379154,877900
2024-01-08,47.430000,48.139999,47.340000,48.130001,47.977253,989300
2024-01-09,47.720001,47.990002,47.560001,47.840000,47.688171,838000
2024-01-10,47.849998,48.029999,47.580002,47.959999,47.807793,958400
2024-01-11,47.889999,47.910000,47.349998,47.849998,47.698139,981400
2024-01-12,48.230000,48.389999,47.660000,47.790001,47.638332,686500
2024-01-16,47.439999,47.669998,47.240002,47.509998,47.359219,1337500
2024-01-17,46.980000,47.320000,46.810001,47.160000,47.010330,928400
2024-01-18,47.419998,47.580002,47.070000,47.560001,47.409061,801500
2024-01-19,47.700001,48.080002,47.340000,48.020000,47.867603,857300
2024-01-22,48.270000,48.689999,48.270000,48.580002,48.425827,1261900
2024-01-23,48.810001,48.939999,48.220001,48.389999,48.236427,953300
2024-01-24,48.790001,48.830002,48.040001,48.080002,47.927414,1145700
2024-01-25,48.459999,48.619999,48.090000,48.380001,48.226460,2445400
2024-01-26,48.509998,48.689999,48.310001,48.419998,48.266331,842900
2024-01-29,48.410000,48.889999,48.250000,48.889999,48.734840,1170500
2024-01-30,48.720001,48.900002,48.580002,48.779999,48.625187,1147700
2024-01-31,48.619999,48.869999,47.840000,47.880001,47.728046,1544700
