Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,50.610001,50.930000,50.509998,50.680000,49.924347,324400
2023-04-21,50.750000,50.799999,50.500000,50.740002,49.983456,337100
2023-04-24,50.720001,50.849998,50.549999,50.779999,50.022858,493200
2023-04-25,50.580002,50.580002,49.950001,49.959999,49.215084,461300
2023-04-26,50.090000,50.160000,49.660000,49.750000,49.008213,473200
2023-04-27,50.060001,50.730000,50.029999,50.720001,49.963753,302500
2023-04-28,50.610001,51.139999,50.610001,51.139999,50.377491,619400
2023-05-01,51.110001,51.330002,51.070000,51.110001,50.347935,713300
2023-05-02,50.990002,50.990002,50.119999,50.509998,49.756882,406600
2023-05-03,50.549999,50.910000,50.150002,50.209999,49.461353,841700
2023-05-04,50.009998,50.060001,49.630001,49.799999,49.057468,1021200
2023-05-05,50.279999,50.849998,50.279999,50.740002,49.983456,448100
2023-05-08,50.799999,50.799999,50.560001,50.759998,50.003155,461900
2023-05-09,50.529999,50.650002,50.470001,50.529999,49.776585,441100
2023-05-10,50.869999,50.970001,50.259998,50.700001,49.944050,332400
2023-05-11,50.630001,50.660000,50.380001,50.630001,49.875095,308500
2023-05-12,50.750000,50.810001,50.259998,50.599998,49.845539,373400
2023-05-15,50.660000,50.799999,50.430000,50.759998,50.003155,275800
2023-05-16,50.619999,50.709999,50.360001,50.360001,49.609119,304600
2023-05-17,50.610001,51.099998,50.439999,51.009998,50.249428,296500
2023-05-18,51.000000,51.560001,50.970001,51.529999,50.761677,489300
2023-05-19,51.630001,51.689999,51.270000,51.430000,50.663166,554600
2023-05-22,51.389999,51.639999,51.259998,51.439999,50.673016,478600
2023-05-23,51.240002,51.389999,50.849998,50.900002,50.141068,436200
2023-05-24,50.700001,50.709999,50.360001,50.500000,49.747036,327300
2023-05-25,50.919998,51.060001,50.650002,50.930000,50.170620,838000
2023-05-26,50.980000,51.650002,50.980000,51.560001,50.791225,259600
2023-05-30,51.820000,51.849998,51.400002,51.590000,50.820782,392500
2023-05-31,51.310001,51.430000,51.049999,51.270000,50.505550,854500
2023-06-01,51.259998,51.869999,51.130001,51.709999,50.938992,314700
2023-06-02,52.060001,52.660000,52.060001,52.529999,51.746765,365700
2023-06-05,52.580002,52.720001,52.340000,52.430000,51.648258,471700
2023-06-06,52.389999,52.669998,52.299999,52.630001,51.845276,379200
2023-06-07,52.689999,52.840000,52.459999,52.509998,51.727058,639800
2023-06-08,52.529999,52.849998,52.400002,52.820000,52.032440,618400
2023-06-09,52.880001,53.119999,52.750000,52.860001,52.071846,258300
2023-06-12,52.970001,53.320000,52.889999,53.320000,52.524982,471000
2023-06-13,53.540001,53.759998,53.459999,53.650002,52.850071,617500
2023-06-14,53.700001,53.959999,53.290001,53.689999,52.889465,436900
2023-06-15,53.560001,54.500000,53.560001,54.330002,53.519928,387800
2023-06-16,54.650002,54.650002,54.139999,54.150002,53.342613,499000
2023-06-20,53.700001,53.810001,53.430000,53.700001,53.108219,694300
2023-06-21,53.509998,53.669998,53.349998,53.400002,52.811527,423600
2023-06-22,53.279999,53.599998,53.240002,53.599998,53.009319,380800
2023-06-23,53.169998,53.389999,53.070000,53.169998,52.584061,298200
2023-06-26,53.119999,53.340000,52.950001,52.980000,52.396152,432900
2023-06-27,53.110001,53.660000,53.040001,53.560001,52.969769,393000
2023-06-28,53.450001,53.709999,53.369999,53.599998,53.009319,263300
2023-06-29,53.580002,53.880001,53.540001,53.880001,53.286240,329900
2023-06-30,54.200001,54.580002,54.200001,54.439999,53.840065,297700
2023-07-03,54.450001,54.580002,54.400002,54.570000,53.968632,160200
2023-07-05,54.279999,54.509998,54.279999,54.400002,53.800507,473400
2023-07-06,53.939999,54.020000,53.650002,53.990002,53.395023,794100
2023-07-07,53.869999,54.380001,53.869999,53.869999,53.276344,324000
2023-07-10,53.840000,54.099998,53.830002,54.080002,53.484032,238700
2023-07-11,54.189999,54.490002,54.080002,54.450001,53.849957,336000
2023-07-12,54.910000,55.040001,54.750000,54.849998,54.245544,323600
2023-07-13,55.130001,55.400002,55.090000,55.310001,54.700478,367400
2023-07-14,55.389999,55.470001,55.139999,55.230000,54.621357,256100
2023-07-17,55.240002,55.560001,55.209999,55.419998,54.809265,474800
2023-07-18,55.389999,55.939999,55.349998,55.840000,55.224636,341000
2023-07-19,55.980000,56.119999,55.889999,56.020000,55.402653,513800
2023-07-20,55.849998,55.970001,55.549999,55.639999,55.026844,501900
2023-07-21,55.860001,55.860001,55.619999,55.639999,55.026844,180600
2023-07-24,55.750000,55.950001,55.700001,55.869999,55.254303,328300
2023-07-25,55.820000,56.169998,55.810001,56.020000,55.402653,287100
2023-07-26,55.900002,56.209999,55.779999,56.029999,55.412544,263800
2023-07-27,56.410000,56.480000,55.540001,55.610001,54.997173,415400
2023-07-28,56.080002,56.279999,55.959999,56.180000,55.560894,319900
2023-07-31,56.279999,56.340000,56.110001,56.310001,55.689457,332100
2023-08-01,56.130001,56.230000,56.009998,56.150002,55.531223,419300
2023-08-02,55.750000,55.759998,55.290001,55.400002,54.789486,350200
2023-08-03,55.119999,55.450001,55.040001,55.230000,54.621357,311400
2023-08-04,55.439999,55.720001,54.930000,55.009998,54.403782,363100
2023-08-07,55.189999,55.470001,55.150002,55.450001,54.838936,713800
2023-08-08,55.099998,55.250000,54.779999,55.189999,54.581799,516900
2023-08-09,55.270000,55.270000,54.750000,54.820000,54.215878,318800
2023-08-10,55.150002,55.560001,54.700001,54.860001,54.255440,974300
2023-08-11,54.630001,54.950001,54.560001,54.799999,54.196098,708700
2023-08-14,54.720001,55.099998,54.650002,55.080002,54.473019,368700
2023-08-15,54.830002,54.900002,54.400002,54.459999,53.859844,261800
2023-08-16,54.360001,54.590000,54.040001,54.049999,53.454365,315200
2023-08-17,54.230000,54.259998,53.560001,53.590000,52.999432,288100
2023-08-18,53.220001,53.759998,53.209999,53.630001,53.038994,237200
2023-08-21,53.750000,54.060001,53.490002,53.950001,53.355469,324200
2023-08-22,54.169998,54.169998,53.750000,53.799999,53.207115,745800
2023-08-23,53.939999,54.480000,53.930000,54.410000,53.810394,1327300
2023-08-24,54.590000,54.680000,53.680000,53.689999,53.098328,388800
2023-08-25,53.860001,54.209999,53.439999,54.020000,53.424694,273300
2023-08-28,54.330002,54.470001,54.169998,54.419998,53.820282,536300
2023-08-29,54.400002,55.200001,54.380001,55.200001,54.591694,451600
2023-08-30,55.220001,55.480000,55.139999,55.380001,54.769707,434700
2023-08-31,55.480000,55.630001,55.320000,55.349998,54.740036,461200
2023-09-01,55.689999,55.709999,55.290001,55.459999,54.848824,204200
2023-09-05,55.369999,55.410000,55.139999,55.150002,54.542244,300200
2023-09-06,55.009998,55.070000,54.500000,54.790001,54.186207,490300
2023-09-07,54.380001,54.669998,54.340000,54.580002,53.978523,513200
2023-09-08,54.610001,54.820000,54.549999,54.639999,54.037861,316600
2023-09-11,54.990002,55.029999,54.779999,55.009998,54.403782,274600
2023-09-12,54.840000,55.009998,54.650002,54.730000,54.126869,368500
2023-09-13,54.700001,54.880001,54.590000,54.730000,54.126869,270700
2023-09-14,55.070000,55.320000,54.930000,55.259998,54.651028,284000
2023-09-15,55.080002,55.080002,54.540001,54.610001,54.008194,475900
2023-09-18,54.310001,54.560001,54.279999,54.389999,53.994293,527600
2023-09-19,54.259998,54.349998,53.959999,54.279999,53.885090,470000
2023-09-20,54.439999,54.520000,53.779999,53.779999,53.388733,329200
2023-09-21,53.450001,53.470001,52.900002,52.930000,52.544918,426800
2023-09-22,53.049999,53.220001,52.750000,52.779999,52.396004,367000
2023-09-25,52.639999,53.020000,52.599998,53.000000,52.614407,336300
2023-09-26,52.660000,52.730000,52.150002,52.220001,51.840084,784800
2023-09-27,52.419998,52.480000,51.849998,52.290001,51.909573,498900
2023-09-28,52.189999,52.820000,52.189999,52.580002,52.197464,430200
2023-09-29,53.020000,53.020000,52.310001,52.490002,52.108116,870000
2023-10-02,52.389999,52.570000,52.080002,52.389999,52.008842,659500
2023-10-03,52.110001,52.310001,51.520000,51.709999,51.333790,795400
2023-10-04,51.779999,52.139999,51.549999,52.080002,51.701103,464700
2023-10-05,52.000000,52.130001,51.639999,52.009998,51.631607,1333900
